method,class,precision,recall,f1,support
xgboost,bot,0.0,0.0,0.0,392
xgboost,ddos,0.9204119850187266,0.9981644210115211,0.9577127011784985,25605
xgboost,dos-goldeneye,0.9336665152203544,0.9975728155339806,0.9645623093170618,2060
xgboost,dos-hulk,0.9995201864418397,0.9504627819058793,0.9743743944405466,46026
xgboost,dos-slowhttptest,0.771382893685052,0.8764759309718437,0.8205782312925171,1101
xgboost,dos-slowloris,0.9405405405405406,0.75,0.8345323741007195,1160
xgboost,ftp-patator,1.0,0.9861373660995589,0.993020304568528,1587
xgboost,heartbleed,0.0,0.0,0.0,3
xgboost,infiltration,0.0,0.0,0.0,8
xgboost,normal,0.9824510267053964,0.97747,0.9799541838560751,100000
xgboost,portscan,0.9713436312369744,0.9978275927208614,0.984407516695139,31762
xgboost,ssh-patator,1.0,0.9838983050847457,0.9918838103374626,1180
xgboost,web-attack-brute-force,0.6977491961414791,0.7185430463576159,0.7079934747145188,302
xgboost,web-attack-sql-injection,0.6666666666666666,0.4,0.5,5
xgboost,web-attack-xss,0.17488789237668162,0.29770992366412213,0.22033898305084745,131
xgboost,macro_avg,,,0.661957218903461,211322
xgboost,weighted_avg,,,0.9723597004692818,211322
xgboost,tail_avg,,,0.2856664915530733,211322
tabpfn_v3,bot,0.0,0.0,0.0,392
tabpfn_v3,ddos,0.9044719045427185,0.9976567076742824,0.9487817560540781,25605
tabpfn_v3,dos-goldeneye,0.9319727891156463,0.9975728155339806,0.9636576787807737,2060
tabpfn_v3,dos-hulk,0.9996132182657674,0.8984269760570113,0.9463229320426121,46026
tabpfn_v3,dos-slowhttptest,0.7474825716498839,0.8764759309718437,0.8068561872909699,1101
tabpfn_v3,dos-slowloris,0.9843184559710495,0.7034482758620689,0.8205128205128205,1160
tabpfn_v3,ftp-patator,1.0,0.9792060491493384,0.9894937917860553,1587
tabpfn_v3,heartbleed,1.0,1.0,1.0,3
tabpfn_v3,infiltration,0.0,0.0,0.0,8
tabpfn_v3,normal,0.9546915072369778,0.97158,0.9630617190946081,100000
tabpfn_v3,portscan,0.95807007466973,0.9977961085573956,0.9775296494501936,31762
tabpfn_v3,ssh-patator,0.9949431099873578,0.6669491525423729,0.7985794013191273,1180
tabpfn_v3,web-attack-brute-force,0.875,0.18543046357615894,0.30601092896174864,302
tabpfn_v3,web-attack-sql-injection,1.0,0.2,0.3333333333333333,5
tabpfn_v3,web-attack-xss,1.0,0.015267175572519083,0.03007518796992481,131
tabpfn_v3,macro_avg,,,0.6589476924397497,211322
tabpfn_v3,weighted_avg,,,0.954195186868876,211322
tabpfn_v3,tail_avg,,,0.33388389005300134,211322
