method,class,precision,recall,f1,support
tabpfn_va100,benign,0.984346001480225,0.9993208534807758,0.9917769043319996,3502926
tabpfn_va100,bot,0.9998792853693867,0.9969428530162245,0.9984089101034208,41542
tabpfn_va100,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
tabpfn_va100,ddos,0.9999715279331313,0.9281766287112265,0.9627374311520637,264872
tabpfn_va100,dos,0.9999486692503144,0.6429844539063274,0.7826873047600872,60594
tabpfn_va100,infiltration,0.8658591296545536,0.0512875023252106,0.09683893627696939,37631
tabpfn_va100,web_attacks,0.09778357235984354,0.44204322200392926,0.1601423487544484,509
tabpfn_va100,macro_avg,,,0.7012093637730511,4023114
tabpfn_va100,weighted_avg,,,0.9761376687113641,4023114
tabpfn_va100,tail_avg,,,0.41846339837827956,4023114
tabpfn_va050,benign,0.9870636002398375,0.9958363379643189,0.9914305629470576,3502926
tabpfn_va050,bot,0.9998792911979142,0.9969909970632131,0.9984330553010945,41542
tabpfn_va050,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
tabpfn_va050,ddos,0.9999837283943587,0.9280822434987466,0.9626923099516544,264872
tabpfn_va050,dos,0.9998970955210825,0.641433145195894,0.781521138088775,60594
tabpfn_va050,infiltration,0.45473003459166794,0.3213839653477186,0.3766017407009513,37631
tabpfn_va050,web_attacks,0.24880382775119617,0.10216110019646366,0.14484679665738162,509
tabpfn_va050,macro_avg,,,0.7387713306684688,4023114
tabpfn_va050,weighted_avg,,,0.9784307057490909,4023114
tabpfn_va050,tail_avg,,,0.5066271975531426,4023114
tabpfn_va000,benign,0.9844207037898183,0.9443368201326549,0.9639622457042388,3502926
tabpfn_va000,bot,0.9998551529343601,0.9969909970632131,0.9984210209124329,41542
tabpfn_va000,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
tabpfn_va000,ddos,0.9999616859868625,0.8868132531939956,0.9399947576199594,264872
tabpfn_va000,dos,0.9996912468481449,0.6412186025018979,0.7812990146792681,60594
tabpfn_va000,infiltration,0.07654567058913718,0.4245435943769764,0.12970532956081562,37631
tabpfn_va000,web_attacks,0.12047328791681607,0.6601178781925344,0.20375985445724681,509
tabpfn_va000,macro_avg,,,0.7047165619951901,4023114
tabpfn_va000,weighted_avg,,,0.9507142751167591,4023114
tabpfn_va000,tail_avg,,,0.4439620683101651,4023114
tabpfn_viewavg,benign,0.9851410731782074,0.998300563585985,0.9916771639118606,3502926
tabpfn_viewavg,bot,0.9998792911979142,0.9969909970632131,0.9984330553010945,41542
